AAA	Ansett Australia - Australia	ANSETT
MHS	Air Memphis - Egypt	AIR MEMPHIS
MHU	Air Memphis - Uganda	MEPHIS UGANDA
MIA	Mauria - Mauritania	MAURIA
MIC	Aerolineas de Michoacan - Mexico	MICHOACAN
MID	Midland Airport Services - United Kingdom	UNKNOWN
MIE	Aero Premier De Mexico - Mexico	AEROPREMIER
MIF	Miras - Kazakhstan	MIRAS
MIG	Russian Aircraft Corporation-MiG - Russia	MIG AVIA
MIK	Meerblick, S.A. - Spain	MEERBLICK
MIL	Military - --	MILITARY
MIM	Mimino - Russia	MIMINO
MIN	Business European Airways Ltd. - United Kingdom	MINSTER
MIO	Midas Airlines, C.A. - Venezuela	MICO
MIR	Miramichi Air Service - Canada	MIRAMICHI
MIS	Midstate Airlines - United States	MIDSTATE
MIT	Flight Line - United States	MATCO
MIX	Masisavia - Armenia	MASIS
MIZ	Desarrollo Milaz - Mexico	MILAZ
MJA	Almajara Aviation - SD	MAJARA
MJB	Magic Blue Airlines - Netherlands	MAGIC BLUE
MJC	Majestic Air P/L - Zimbabwe	ZIMBIRD
MJL	Jet Line International - Moldova	MOLDJET
MJM	Eti 2000 - Italy	ELCO ETI
MJN	Royal Air Force of Oman - Oman	MAJAN
MJR	Midamerica Jet - United States	MAJOR
MJS	WWW-Bedarfsluftfahrt - AT	MEDICAL JET
MJT	Mex-Jet - Mexico	MEJETS
MKA	MK Airline - Ghana	KRUGER-AIR
MKE	Megantara Air - ID	MEGANTARA
MKH	Air Marrakech Service - Morocco	AIR MARRAKECH
MKK	Malaya Aviatsia Dona - Russia	AEROKEY
MKL	McCall Aviation - United States	MCCALL
MKN	Mekong Airlines - Cambodia	MEKONG AIRLINES
MKO	Markoss Aviation - United Kingdom	GOSHAWK
MKS	Pimichikamac Air - Canada	MIKISEW
MKU	Island Air - US	MOKU
MKV	Michkov Air Services - Russian Federation	LUBER
MKY	Monky Aerotaxis - Mexico	MONKY
MLA	40-Mile Air - United States	MILE-AIR
MLB	Manaf International Airways - Burundi	MANAF
MLC	Malila Airlift - Democratic Republic of the Congo	MALILA
MLD	Air Moldova - Moldova	AIR MOLDOVA
MLE	Moldaeroservice - Moldova	MOLDAERO
MLF	Amal Airlines - Djibouti	AMAL
MLG	Malagasy Airlines - Madagascar	UNKNOWN
MLH	Mahalo Air - United States	MAHALO
MLI	Air Mali - Mali	AIR MALI
MLK	Millennium Air - Nigeria	NIGERJET
MLL	Aeroclub de Mallorca - Spain	MALLORCA
MLM	Millennium Air Corporation (MAC) - Panama	MILLENNIUM
MLN	Air Madeleine - Canada	AIR MADELEINE
MLO	Servicios Aereos Milenio - Mexico	MILENIO
MLP	Asia Pacific Airlines - Malaysia	MALAY PACIFIC
MLR	Mihin Lanka - LK	MIHIN LANKA
MLS	Mall Airways - United States	MALL-AIRWAYS
MLT	Maritalia - Senegal	MARITAL
MLU	Zracno Pristaniste Mali Losinj - Croatia	MALI LOSINJ
MLX	Malawi Express - Malawi	MALAWI EXPRESS
MMA	Myanmar Airways International - MM	UNKNOWN
MMC	Aermarche - Italy	AERMARCHE
MMD	Air Alsie - Denmark	MERMAID
MMH	Mikromatika Air Cargo Ltd. - Hungary	MIKROMATIKA
MMM	Myanmar Airways International - Myanmar	assignment postponed
MMP	AMP Incorporated - United States	AMP-INC
MMR	Musrata Air Transport - Libya	MUSRATA AIR
MMS	SAAD (A320) Limited - Cayman Islands	MUSAAD AIR
MMX	Airmax - Peru	PERUMAX
MMZ	EuroAtlantic Airways - Portugal	EUROATLANTIC
MNA	Merpati Nusantara Airlines - Indonesia	MERPATI
MNB	MNG Airlines - Turkey	BLACK SEA
MNC	MIT Airlines - Canada	MUNCIE
MND	Corporatejets XXI - ES	CUGAT
MNE	Aerolineas Amanecer - Mexico	AEROAMANECER
MNF	Man-air.com Ltd. - United Kingdom	PENNINE
MNG	Aero Mongolia - Mongolia	AERO MONGOLIA
MNH	Monarch Airlines - United States	MONARCH AIR
MNI	Aeromilenio - Mexico	AEROMIL
MNJ	Menajet - Lebanon	MENAJET
MNK	Metavia Airlines Pty. Ltd. - South Africa	VIAMET
MNL	Miniliner - Italy	MINILINER
MNM	Adjaria - Georgia	NINO
MNO	Mango - South Africa	TULCA
MNR	Mann Air - United Kingdom	TEEMOL
MNS	Ministic Air - Canada	MINISTIC
MNT	Montserrat Airways - Montserrat	MONTSERRAT
MNV	Mauritanienne Aerienne Et Navale - Mauritania	NAVALE
MNX	Manx Airlines - United Kingdom	MANX
MNY	Mooney Aircraft Corporation - United States	MOONEY FLIGHT
MNZ	Murmansk Aircompany - Russia	MURMAN AIR
MOA	Air Moravia Czech Charter Airline Ltd. - Czech Republic	MORAS
MOC	Air Monarch Cargo - Mexico	MONARCH CARGO
MOD	Aeroclube de Coimbra - PT	MONDGO
MOE	Mostarez Air - Czech Republic	MOST AIR
MOG	Mogilevavia - Belarus	MOGILEV
MOH	Tigerfly - United Kingdom	MOTH
MOL	Shah Air - Kazakhstan	BAGDAN
MON	Monarch Airlines - United Kingdom	MONARCH
MOP	Aeropublicitaria De Angola - Angola	PUBLICITARIA
MOR	Aerolineas De Morelia - Mexico	AEROMORELIA
MOS	Moscow Air Service - Russia	MOSCOW
MOV	VIM air	VIM air
MOW	Mowhawk Airlines - United States	MOHAWK AIR
MOZ	RUKA Betriebs GmbH - AT	MOZART
MPA	Mid-Pacific Airlines - United States	MID PAC
MPC	Mountain Pacific Air - Canada	MOUNTAIN PACIFIC
MPD	Air Plus Comet - Spain	RED COMET
MPE	Canadian North - Canada	EMPRESS
MPH	Martinair - Netherlands	MARTINAIR
MPI	Mosphil Aero - Philippines	MOSPHIL
MPJ	MAP-Management and Planung - Austria	MAPJET
MPL	Master Planner - United States	UNKNOWN
MPO	Transportes Aereos Amparo - Mexico	AMPARO
MPR	Empire Aviation Services - Nigeria	UNKNOWN
MPS	Metroplis - Netherlands	METRO REGIONAL
MPT	Miapet-Avia - Armenia	MIAPET
MPX	Aeromexpress - Mexico	AEROMEXPRESS
MQT	Musketeer Virtual - Germany	MUSKETEER
MRA	Martinaire - United States	MARTEX
MRB	Centre Pankh Kazakhstan - Kazakhstan	TOMA
MRC	Medical Air Rescue - Spain	RESCUE
MRD	Meridian Air Cargo - United States	MERIDIAN
MRE	Namibia Commerical Aviation - Namibia	MED RESCUE
MRF	Mauritanienne Air Fret - Mauritania	MAUR-FRET
MRG	MANAG'AIR - France	MANAG'AIR
MRH	Marham Flying Training Unit - United Kingdom	MARHAM
MRI	Servicios Aereos Moritani - Mexico	MORITANI
MRK	Markair - United States	MARKAIR
MRL	Aeromorelos - Mexico	AEROMORELOS
MRM	Aerocharter - Canada	MARITIME
MRN	Missions Gouvernemtales Francaises - France	MARIANNE
MRO	Morrison Flying Service - United States	MORRISON
MRP	Abas - Czech Republic	ABAS
MRR	San Juan Airlines - United States	MARINER
MRS	Air Marshall Islands, Inc. - Marshall Islands	MARSHALL ISLANDS
MRT	Air Mauritanie - Mauritania	MIKE ROMEO
MRV	morava	morava
MRW	Mars RK - Ukraine	AVIAMARS
MRX	Herman's Markair Express - United States	SPEEDMARK
MRY	Murray Air, Inc. - United States of America	MURRAY CARGO
MRZ	Medical Air Rescue Services - Zimbabwe	MARS
MSA	Mistral	Mistral
MSC	Air Cairo - Egypt	UNKNOWN
MSE	EgyptAir Express - EG	UNKNOWN
MSF	Max Sea Food - El Salvador	MAXESA
MSG	Servico Aereo Regional - Mozambique	SAR-REGIONAL
MSH	US Marshals Service - United States	MARSHALAIR
MSI	Motor Sich - Ukraine	MOTOR SICH
MSK	Air Sport - Bulgaria	AIR SPORT
MSL	Marsland Aviation - Sudan	MARSLANDAIR
MSM	Aeromas - Uruguay	AEROMAS EXPRESS
MSN	Missionair - Spain	MISIONAIR
MSO	Aerolï¿½neas Mesoamericanas - Mexico	MESO AMERICANAS
MSP	Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica - Costa Rica	SEGURIDAD
MSQ	Meta Linhas Aï¿½reas - Brazil	META
MSR	Egyptair - Egypt	EGYPTAIR
MSS	Morris Air Service - United States	WASATCH
MST	Master Top Linhas Aereas - BR	MASTER
MSV	Aero-Kamov - Russia	AERAFKAM
MSW	Master Airways - Serbia	MASTER AIRWAYS
MSX	Egyptair Cargo - Egypt	EGYPTAIR CARGO
MSY	Massey University School of Aviation - New Zealand	MASSEY
MTA	GAK/Mitchell Aero - United States	GAK AVIATION
MTB	Aerotaxis Metropolitanos - Mexico	AEROMETROPOLIS
MTC	Mountain Air Company - Sierra Leone	MOUNTAIN LEONE
MTD	MacKnight Airlines - Australia	UNKNOWN
MTE	Aeromet Linea Aerea - Chile	AEROMET
MTF	Interjet - Italy	INTERJET
MTG	Servicios Aereos MTT - Mexico	UNKNOWN
MTH	Massachusetts Institute of Technology - United States	RESEARCH
MTI	Monerrey Air Taxi - Mexico	MONTERREY AIR
MTJ	Metrojet - Hong Kong SAR of China	METROJET
MTK	Air Metack - Angola	AIRMETACK
MTL	RAF-Avia - Latvia	MITAVIA
MTN	Mountain Air Virtual Airlines - USA	MOUNTAIN AIR
MTO	Manitoulin Air Services - Canada	MANITOULIN
MTP	Island Helicopters - United States	METROCOPTER
MTR	Metroflight - United States	METRO
MTS	Mantrust Asahi Airways - Indonesia	MANTRUST
MTT	Mastair - Bosnia and Herzegovina	BLUE MAST
MTV	Mountain Valley Air Service - United States	MOUNTAIN VALLEY
MTX	Multi Taxi - Mexico	MULTITAXI
MTY	Air Montegomery - United Kingdom	MONTY
MTZ	Mali Airways - Mali	MALI AIRWAYS
MUA	Murray Air - United States	MURRAY AIR
MUG	Muk Air (GH) Ltd. - Ghana	MUGGAN
MUI	Trans Air - United States	MAUI
MUN	Aeromundo Ejecutivo - Mexico	AEROMUNDO
MUR	Aerolinea Muri - Mexico	MURI
MVA	Mississippi Valley Airways - United States	VALAIR
MVD	Kavminvodyavia - Russia	AIR MINVODY
MVG	Moldova - Moldova	MOLDOVA-STATE
MVI	Metro Business Aviation - United Kingdom	UNKNOWN
MVK	Helicopter Training & Hire - United Kingdom	MAVRIK
MVL	Mavial Magadan Airlines - Russia	Mavial
MVM	Air Cargo America - United States	PEGASUS
MVN	Marvin Limited - United Kingdom	MARVIN
MVR	Maverick Airways - United States	MAV-AIR
MVY	VIM-Aviaservice - Russia	UNKNOWN
MWR	Raslan Air Service - Egypt	RASLAN
MWS	Malta Wings - Malta	MALTA WINGS
MWT	Midwest Aviation Division - United States	MIDWEST
MWY	Mauritanienne Airways - Mauritania	MAURITANIENNE
MXA	Mexicana de Aviaciï¿½n - Mexico	MEXICANA
MXB	Mex Blue - Mexico	MEX BLUE
MXC	Compania Mexicargo - Mexico	MEXICARGO
MXE	Mocambique Expresso - Mozambique	MOZAMBIQUE EXPRESS
MXG	Terrex Group - Czech Republic	MAXIG
MXJ	Maxjet Airways - United States	MAX-JET
MXL	Maxair - Sweden	MAXAIR
MXO	Aerotaxi Mexicano - Mexico	MAXAERO
MXP	May Air Xpress - United States	BEECHNUT
MXQ	Transportes Aereos Mexiquenses - Mexico	MEXIQUENSES
MXS	Maxsus-Avia - Uzbekistan	MAXSUS-AVIA
MXT	Mexico Transportes Aereos - Mexico	TRANSMEX
MXU	Maximus Air Cargo - United Arab Emirates	CARGO MAX
MXX	Merchant Express Aviation - Nigeria	MERCHANT
MYA	Myflug - Iceland	MYFLUG
MYB	Aerolineas Del Mayab, S.A. de C.V. - Mexico	DELMAYAB
MYD	Maya Island Air - Belize	MYLAND
MYI	Mayair - Mexico	MAYAIR
MYL	MyTravel Lite - United Kingdom	MYLITE
MYN	Mayan World Airlines - Guatemala	MAYAN WORLD
MYO	Dominguez Toledo (Grupo Mayoral) - Spain	MAYORAL
MYT	MyTravel Airways - United Kingdom	KESTREL
MYV	Lineas Aereas del Mayab - MX	LINEAS MAYAB
MYW	My Way Airlines - Italy	FRANKY
MZK	AVC Airlines - Japan	UNKNOWN
MZL	Aerovias Montes Azules - Mexico	MONTES AZULES
MZS	Mahfooz Aviation - Gambia	MAHFOOZ
NAA	National Oceanic and Atmospheric Administration - United States	NOAA
NAB	Mina Airline Company - Egypt	UNKNOWN
NAC	North AirCargo VA - Norway	AIRCARGO
NAD	Seulawah Nad Air - Indonesia	SEULAWAH
NAE	Nations Air Express Inc - United States	NATIONS EXPRESS
NAF	Royal Netherlands Air Force - Netherlands	NETHERLANDS AIR FORCE
NAG	Northern Air Charter Aps & Co KG - Germany	STARDUST
NAH	Nahanni Air Services Ltd - Canada	NAHANNI
NAI	North Adria Aviation - Croatia	NORTH-ADRIA
NAJ	North American Jet Charter Group - United States	JET GROUP
NAK	New Kazakstan Airlines - Kazakhstan	JANARK
NAL	Northway Aviation Ltd - Canada	NORTHWAY
NAM	Nortland Air Manitoba - Canada	MANITOBA
NAN	National Airlines - United States	NATION AIR
NAO	North American Airlines - US	NORTH AMERICAN
NAP	Napier Air Service Inc - United States	NAPIER
NAR	Air Continental Inc - United States	NIGHT AIR
NAS	Nasair - Eritrea	NASAIRWAYS
NAT	North Atlantic Air Inc - United States	MASS AIR
NAU	Antanik-Air - Ukraine	ANTANIK
NAV	Nav Flight Planning - Czech Republic	NAV DISPATCH
NAW	Newair A/S - Denmark	NEWDAN
NAX	Norwegian Air Shuttle - Norway	NOR SHUTTLE
NAY	Navegacion Servicios Aereos Canarios SA - Spain	NAYSA
NAZ	Servicios Aereos del Nazas SA de CV - Mexico	NAZAS
NBA	North East Bolivian Airways (NEBA) - Bolivia	NEBA
NBE	Novosibirsk Aviaenterprise - Russia	NAKAIR
NBK	Albarka Air - Nigeria	AL-AIR
NBL	Noble Air - USA	NOBLE AIR
NBN	North British Airlines - United Kingdom	TEESAIR
NBR	Haughey Air - United Kingdom	NORBROOK
NBS	Nimbus Aviation - United Kingdom	NIMBUS
NCA	Nippon Cargo Airlines - Japan	NIPPON CARGO
NCB	North Caribou Flying Service Ltd - Canada	NORTH CARIBOU
NCC	North Coast Air Services Ltd - Canada	NORTH COAST
NCE	Northcoast Executive Airlines - United States	TOP HAT
NCF	Norfolk County Flight College - United Kingdom	COUNTY
NCG	Nederlandse Kustwacht - Netherlands	NETHERLANDS COASTGUARD
NCH	Chanchangi Airlines - Nigeria	CHANCHANGI
NCL	ACA-Ancargo Air Sociedade de Transporte de Carga Lda - Angola	ANCARGO AIR
NCM	Nas Air - Angola	AIR BANE
NCN	National Airlines - Chile	UNKNOWN
NCO	Natalco Air Lines - Sï¿½o Tomï¿½ and Prï¿½ncipe	NATALCO
NCP	Capital Airlines Limited - Nigeria	CAPITAL SHUTTLE
NCS	Simpson Air Ltd - Canada	COMMUTER-CANADA
NCT	Nacional Transportes Aereos Ltda. - NATA	NATA TRANSPORTES
NDA	Northern Airways - United States	NORTHERN DAKOTA
NDC	FlyNordic - Sweden	NORDIC
NDF	Namibian Defence Force - Namibia	NAMIBIAN AIR FORCE
NDN	Transportes Aereos Cielos Andinos - PE	ANDINOS
NDS	Nordstree (Australia) - Australia	UNKNOWN
NDU	University of North Dakota - United States	SIOUX
NEA	New England Airlines - United States	NEW ENGLAND
NEB	State of Nebraska - United States	NEBRASKA
NEC	Northeast Cargo - USA	NORTHEAST
NEE	Northeast Airlines - United States	NORTHEAST
NEF	Nord-Flyg - Sweden	NORDEX
NEG	Linea Aerea de Fumig Aguas Negras - Chile	AGUAS NEGRAS
NEL	Aero Servicios de Nuevo Laredo - Mexico	AEROLAREDO
NEN	North-East Airlines - Nigeria	NORTHEAST SWAN
NEP	NEPC Airlines ( A Division of NEPC Micon Limited) - India	NEPCAIR
NER	Air Newark - United States	NEWAIR
NES	Nordeste Linhas Aereas Regionais - Brazil	NORDESTE
NET	Network Aviation Services - Nigeria	NETWORK
NEW	NCA Executive Express - Cyprus	NEW CLIPPER
NEX	Northern Executive Aviation - United Kingdom	NEATAX
NEY	North East Airlines - Swaziland	NORTHJET
NEZ	New England Air Express - United States	ENGAIR
NFA	North Flying - Denmark	NORTH FLYING
NFC	North Atlantic Cargo - Norway	NORTH ATLANTIC
NFF	Aircraft Support and Services - Lebanon	UNKNOWN
NFL	Northaire Feight Lines - United States	GREAT LAKES
NFS	Afrique CArgo Service Senegal - Senegal	UNKNOWN
NFT	Nefteyugansk Aviation Division - Russia	NEFTEAVIA
NGA	Nigeria Airways - Nigeria	NIGERIA
NGC	Angoservice - Angola	ANGOSERVICE
NGE	Angel Airlines - Thailand	ANGEL AIR
NGF	Angel Flight America - United States	ANGEL FLIGHT
NGI	Nigerian Global - Nigeria	AIR GLOBAL
NGK	Oriental Air Bridge - Japan	ORIENTAL BRIDGE
NGL	Mangal Airlines - NG	MANGAL AIR
NGO	Air-Angol - Angola	AIR ANGOL
NGP	Air Nigeria - Nigeria	REGAL EAGLE
NGR	Nigerian Air Force - Nigeria	NIGERIAN AIRFORCE
NGS	Nagesa, Compania Aerea - Equatorial Guinea	NAGESA
NGV	Angoavia - Angola	ANGOAVIA
NGX	Nigerian Global - Nigeria	AIR GLOBAL
NHA	Air Nove - Bulgaria	AIR NOVE
NHG	NHT Lineas Aereas - Brazil	HELGA
NHK	Federal Aviation Administration - United States	NIGHTHAWK
NHL	Northumbria Helicopters - United Kingdom	NORTHUMBRIA
NHR	Nuevo Horizonte Internacional - Mexico	NUEVO HORIZONTE
NHT	New Heights 291 - South Africa	NEWHEIGHTS
NHZ	Nada Air Service - Chad	NADA AIR
NIC	Northern Illinois Commuter - United States	ILLINOIS COMMUTER
NID	Aeroni - Mexico	AERONI
NIE	Aeroejecutiva Nieto - Mexico	AERONIETO
NIG	Aero Contractors - Nigeria	AEROLINE
NIK	Niko Air Ltd. - Bulgaria	NIK AIR
NIN	Nurman Avia Indopura - Indonesia	NURVINDO
NIR	Norsk Flyrjeneste - Norway	NORSEMAN
NIS	Nicaraguense De Aviacion - Nicaragua	NICA
NIT	Midwest Aviation - United States	NIGHTTRAIN
NJC	Nashville Jet Charters - United States	NASHVILLE JET
NJE	NetJets Transportes Aereos - PT	FRACTION
NJS	National Jet Systems - Australia	NATIONAL JET
NJT	Netjets International - US	NETJET
NKA	Northern Dene Airways Ltd. - Canada	NORCANAIR
NKE	Napkelet Airlines - Hungary	SUN EAST
NKF	Barents AirLink - Sweden	NORDFLIGHT
NKL	Nakheel Aviation - United Arab Emirates	NAKHEEL
NKS	Spirit Airlines - United States	SPIRIT WINGS
NKT	Nantucket Shuttle / Horizon Air Charter - US	SHUTTLEFLIGHT
NKV	Nikolaev-Air - Ukraine	AIR NIKOLAEV
NKZ	Aerokuzbass - Russia	NOVOKUZNETSK
NLA	Neiltown Air - Canada	NEILTOWN AIR
NLC	Nelair Charters - South Africa	NELAIR
NLE	Boston-Maine Airways d/b/a FAA William J. Hughes Technical C	NELLIE
NLF	Westair Aviation, Inc. - Canada	NORTHERN LIFE
NLG	NEL Cargo - Ivory Coast	NELCARGO
NLK	Elbrus-Avia Air Enterprise - Russia	ELAVIA
NLL	Northafrican Air Transport - Libya	NORTHAFRICAN AIR
NLS	Nationale Luchtvaartschool - Netherlands	PANDER
NLT	Newfoundland Labrador Air Transport - Canada	NALAIR
NLW	Nile Wings Aviation Services - Sudan	NILE WINGS
NLY	Niki - Austria	FLYNIKI
NMB	Air Namibia - Namibia	NAMIBIA
NMD	Nomad Aviation - Namibia	NOMAD AIR
NMH	Metro Helicopters - USA	METRO
NMI	Pacific Wings - United States	TSUNAMI
NML	Gambia New Millenium Air - Gambia	NEWMILL
NOA	Norontair - Canada	NORONTAIR
NOC	Norcopter - Norway	UNKNOWN
NOE	Transcaraibes Air International - France	FRENCH HOPPER
NOF	Fonnafly - Norway	FONNA
NOH	No. 32 (The Royal) Squadron RAF - United Kingdom	NORTHOLT
NOK	Nok Air - Thailand	NOK AIR
NOL	National Overseas Airlines Company - Egypt	NAT AIRLINE
NOM	Nomad Airways LLC - Kazakhstan	MADON
NON	Servicios Aereos Latinoamericanos - Mexico	SERVICIOS LATINO
NOP	Novair - Aviacao Geral, S.A.	NOVAIR
NOR	Norsk Helikopter - Norway	NORSKE
NOS	Neos - Italy	MOONFLOWER
NOT	Linea Aerea Costa Norte - Chile	COSTA NORTE
NOV	Nova Airline - Sudan	NOVANILE
NOW	Royal Norwegian Air Force - Norway	NORWEGIAN
NOY	Noy Aviation - Israel	NOY AVIATION
NPC	Western Air Couriers - United States	NORPAC
NPL	Air Nepal International - Nepal	AIR NEPAL
NPO	Novosibirsk Aviation Production Association - Russia	NOVSIB
NPP	MIR Scientific Industrial Enterprise, Joint-Stock Company -	MIR SCIENTIFIC
NPR	Air Napier - New Zealand	UNKNOWN
NPT	Atlantic Airlines - United Kingdom	NEPTUNE
NPX	Northeast Aviation - United States	NORTHEAST EXPRESS
NQN	Transportes Aereos Neuquen Sociedad Anonima - Argentina	TANEU
NRA	Santi Airlines Limited - Gambia	SANTI AIRLINES
NRC	North Sea Airways - Netherlands	NORTH SEA
NRD	Nordic Regional - Sweden	NORTH RIDER
NRE	Aviones Are - Mexico	AVIONES ARE
NRG	Ross Aviation - United States	ENERGY
NRK	Naturelink Charter - South Africa	NATURELINK
NRL	Nolinor Aviation - Canada	NOLINOR
NRN	Royal Netherland Navy - Netherlands	NETHERLANDS NAVY
NRO	Aero Rent JSC - Russia	AEROMASTER
NRP	Aeronord-Grup - Moldova	AERONORD
NRR	Natureair - Costa Rica	NATUREAIR
NRS	Atlantic Richfield Company - United States	NORTH SLOPE
NRT	Norestair - Spain	NORESTAIR
NRV	North Vancouver Airlines - Canada	NORVAN
NRW	Polizeifliegerstaffel Nordrhein-Westfalen - Germany	HUMMEL
NRX	Norse Air Charter - South Africa	NORSE AIR
NRZ	Servicios Aereos Monarrez - Mexico	MONARREZ
NSA	Nile Safaris Aviation - Sudan	NILE SAFARIS
NSC	Societe De Transport Aerien De Mauritanie - Mauritania	TRANS-SOCIETE
NSE	SATENA - COlombia	SATENA
NSF	Northamptonshire School of Flying - United Kingdom	NORTON
NSI	Northern Skies Aviation - US	NORTHERN SKIES
NSK	Air Intersalonika - Greece	INTERSALONIKA
NSL	Neric - United Kingdom	NERICAIR
NSM	Global Jet Corporation - United States	THUNDERCLOUD
NSO	Aerolineas Sosa - Honduras	SOSA
NSP	Novosibirsk Aircraft Repairing Plant - Russia	NARPAIR
NSR	National Air Charter - Indonesia	NASAIR
NSS	Northstar Aviation - United States	NORTHSTAR
NSW	Country Connection Airlines - Australia	UNKNOWN
NTA	Northern Thunderbird Air - Canada	THUNDERBIRD
NTB	Servicios Aereos Del Norte - Mexico	SERVINORTE
NTC	Gibson Aviation - United States	NIGHT CHASE
NTD	Aero Norte - Mexico	UNKNOWN
NTE	Interaire - Mexico	INTERMEX
NTG	Servicios Intergrales De Aviacion - Mexico	INTERGRALES
NTH	Hokkaido Air System - Japan	NORTH AIR
NTJ	NextJet - Sweden	NEXTJET
NTK	Natioanl Air Traffic Controllers Association - United States	NATCA
NTL	Air Anatolia - Turkey	AIR ANATOLIA
NTM	North American Airlines - Canada	NORTHAM
NTN	National Airways Corporation - ZA	NATCHAIR
NTO	Nation Air - DJ	UNKNOWN
NTR	TNT International Aviation - United Kingdom	NITRO
NTS	Cirrus Air - United States	NITE STAR
NTT	Inter Tropic Airlines - Sierra Leone	INTER-TROPIC
NTV	Air Inter Ivoire - Ivory Coast	INTER-IVOIRE
NTW	Nationwide Airlines - South Africa	NATIONWIDE
NTX	Northern Jet Management - United States	NORTAX
NUL	Aeroservicios De Nuevo Leon - Mexico	SERVICIOS NUEVOLEON
NUN	Nunasi-Central Airlines - Canada	NUNASI
NUR	Nur Airlines - UZ	NURBEK
NUS	Northern Illinois Flight Center - US	ENJET
NVA	Nile Valley Aviation Company - Egypt	UNKNOWN
NVC	Nav Canada - Canada	NAV CAN
NVD	Nordic Solutions - Lithuania	NORDVIND
NVG	Novogorod Air Enterprise - Russia	SADKO AVIA
NVI	Avial NV Aviation Company - Russia	NEW AVIAL
NVJ	Fly International Airways - Tunisia	NOUVINTER
NVK	Nizhnevartovskavia - Russia	VARTOSKAVIA
NVL	Navigator Airlines - Armenia	NAVLINES
NVM	Naviera Mexicana - Mexico	NAVIERA
NVO	Envuelo - ES	ENVUELO
NVP	Navegacao Aerea De Portugal - Portugal	UNKNOWN
NVR	Novair - Sweden	NAVIGATOR
NVS	Nouvelle Air Affaires Gabon - GA	NOUVELLE AFFAIRES
NVY	Royal Navy - United Kingdom	NAVY
NWA	Northwest Airlines - United States	NORTHWEST
NWD	New World Jet Corporation - United States	NEW WORLD
NWE	Northwest Aero Associates - United States	UNKNOWN
NWG	Airwing - Norway	NORWING
NWL	North-Wright Airways - Canada	NORTHWRIGHT
NWN	Northwinds Northern - Canada	NORTHWINDS
NWO	Northwood Headquarters (RAF - United Kingdom	UNKNOWN
NWR	Northwest Regional Airlines - Australia	UNKNOWN
NWT	Northwest Territorial Airways - Canada	TERRITORIAL
NWW	North West Airlines - Australia	HALANT
NWX	Now Airlines Ltd. - United Kingdom	NOW FLIGHT
NWZ	Nationwide Airlines (Zambia) - Zambia	ZAMNAT
NXA	Air Next - Japan	BLUE-DOLPHIN
NXF	Nextflight Aviation - United States	NEXTFLIGHT
NXS	Nexus Aviation - Nigeria	NEXUS AVIATION
NXT	National Express - United States	NATIONAL FREIGHT
NYA	Nanyah Aviation - Israel	NANYAH
NYB	Belgian Navy - Belgium	BELGIAN NAVY
NYH	New York Helicopter - United States	NEW YORK
NYL	Mid Airlines - Sudan	NILE
NYS	Nyasa Express - Malawi	NYASA
NZA	Nayzak Air Transport - Libya	UNKNOWN
NZM	Mount Cook Airlines - New Zealand	MOUNTCOOK
NZP	ATC Alliance Avia Group, Aircompany - Russian Federation	ORBITA
NZR	Yanzar - Kazakhstan	NURIK
OAA	Orange Air - Netherlands	ORANGE
OAC	Oriental Airlines - Nigeria	ORIENTAL AIR
OAD	Orscom Tourist Installations Company - Egypt	ORSCOM
OAE	Omni Air International - United States	OMNI-EXPRESS
OAF	Austrian Air Ambulance - Austria	AUSTRAIN AMBULANCE
OAH	Historic Olympic Airways virtual - Greece	OLYMPIC
OAL	Olympic Airlines - Greece	OLYMPIC
OAO	Arkhangelsk 2 Aviation Division - Russia	DVINA
OAP	COAPA AIR - Mexico	COAPA
OAS	Oman Aviation Services Co. (SAOG) - Oman	ORYX
OAV	Olympic Airways Virtual - Greece	OLYMPIC
OAW	Helvetic Airways - Switzerland	HELVETIC
OAX	Operational Aviation Services - Australia	UNKNOWN
OBA	Aerobanana - Mexico	AEROBANANA
OBK	Amako Airlines - Nigeria	AMAKO AIR
OBM	Aviaobshemash - Russian Federation	OBSHEMASH
OBS	Orbest - PT	ORBEST
OBT	Orbit Xpress - United Kingdom	ORBIT
OCA	Aserca Airlines - Venezuela	AROSCA
OCE	Heliocean - France	HELIOCEAN
OCF	JPM Aviation - FR	EXPLORER
OCM	O'Connor Airlines - Australia	OCONNOR
OCN	O Air - France	O-BIRD
OCO	Ostend Air College - Belgium	AIR COLLEGE
OCR	Ocean Air PVT Ltd. - Maldives	OCEAN AIR
OCS	Ocean Sky (UK) - United Kingdom	OCEANSKY
ODI	Jonsson, H Air Taxi - Iceland	ODINN
ODM	Pan African Airways - Kenya	UNKNOWN
ODR	Quadrotour Aero, Aircompany - Kazakhstan	QUADRO
ODS	Odessa Airlines - Ukraine	ODESSA AIR
ODY	Odyssey International - Canada	ODYSSEY
OEA	Orient Thai Airlines - Thailand	ORIENT THAI
OEC	Christophorus Flugrettungsverein - Austria	CHRISTOPHORUS
OED	Orion Air Charter - South Africa	ORION CHARTER
OEG	Orient Eagle Airways - Kazakhstan	ORIENTEAGLE
OFA	Helitaxi Ofavi - Mexico	OFAVI
OFF	Challenge International Airlines - United States	CHALLENGE AIR
